title,date,sentence
UFC Fight Night: Barboza vs. Lee,2018-04-21,"Aspen Ladd weighed in at 137.8 pounds, 1.8 pounds over the bantamweight non-title fight upper limit of 136 pounds."
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,"At the weigh-ins, four fighters missed weight: *Gianni Vázquez weighed in at 141 pounds, five pounds over the bantamweight non-title fight limit. *Wang Cong and Eduarda Moura weighed in at 127.5 pounds, one and a half pounds over the women's flyweight non-title fight limit, respectively. *Former LFA Bantamweight Champion Muin Gafurov weighed in at 141 pounds, five pounds over the bantamweight non-title fight limit."
UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,"Dawson also failed to make weight, coming in at 149.5 pounds, 3.5 pounds over the featherweight non-title fight limit of 146 pounds."
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,"At the weigh ins, Rolando Dy weighed in at 148 pounds, 2 pounds over the featherweight upper limit of 146 pounds."
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"At the weigh-ins, Ketlen Vieira, Jared Gordon, Drako Rodriguez and Rafael Alves missed weight for their respective bouts."
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"Vieira weighed in at 138 pounds, two pounds over the women's bantamweight non-title fight limit."
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"Gordon weighed in at 150 pounds, four pounds over the featherweight non-title fight limit."
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"Rodriguez weighed in at 140.5 pounds, four and a half pounds over the bantamweight non-title fight limit."
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"Alves weighed in at 157.5 pounds, eleven and a half pounds over the featherweight non-title limit, marking the heaviest weight-miss in UFC history."
UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,"At the weigh-ins, Rashad Coulter weighed in at 208 pounds, 2 pounds over the light heavyweight non-title fight limit of 206."
UFC Fight Night: Boetsch vs. Henderson,2015-06-06,"Both Yancy Medeiros and Leonardo Morales missed weight on their first attempts at the weigh-ins, coming in at 159.5 lb and 140 lb respectively."
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"At the weigh-ins, Ismael Bonfim weighed in at 161 pounds, five pounds over the lightweight non-title fight limit."
UFC Fight Night: Brown vs. Silva,2014-05-10,"Anthony Lapsley initially weighed in at 174 pounds, over the welterweight limit allowance of 171 pounds."
UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,"At the weigh-ins, Jonathan Martinez weighed in at 140.5 pounds, four and a half pounds over the bantamweight non-title fight limit."
UFC Fight Night: Brunson vs. Till,2021-09-04,"At the weigh-ins, Martinez weighed in at 138 pounds, two pounds over the bantamweight non-title fight limit."
UFC Fight Night: Burns vs. Brady,2024-09-07,"At the weigh-ins, Dylan Budka and Kyle Nelson missed weight."
UFC Fight Night: Burns vs. Brady,2024-09-07,"Budka weighed in at 188.5 pounds, two and a half pounds over the middleweight non-title fight limit."
UFC Fight Night: Burns vs. Brady,2024-09-07,"Nelson weighed in at 148.5 pounds, two and a half pounds over the featherweight non-title fight limit."
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,"At the weigh-ins, de Pádua weighed in at 130.5 pounds, 4.5 pounds over the flyweight non-title fight limit of 126 pounds."
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,"As a result of missing weight, de Pádua was fined 30% of her purse, which went to Lipski."
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,"At the weigh-ins, Tracy Cortez and her opponent Vanessa Melo both missed weight for their fight."
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,"Cortez and Melo both weighed in at 136.5 pounds, 0.5 pounds over the bantamweight non-title fight limit of 136 pounds."
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,"However, later on the same day, CABMMA executive director Cristiano Sampaio announced that due to an error of the scale used at the weigh-ins, which was set was 0.7 pounds above the official scale, Cortez and Melo were officially clear from missing weight and thus the bout proceeded at bantamweight. "
UFC Fight Night: Błachowicz vs. Santos,2019-02-23,"Ferreira weighed in at 157 pounds, 1 pound over the lightweight non-title fight limit of 156."
UFC Fight Night: Błachowicz vs. Santos,2019-02-23,"Meanwhile, Abreu weighed in at 209 pounds, 3 pounds over the light heavyweight non-title fight limit of 206."
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,"At the weigh-ins, Hayisaer Maheshate weighed in at 158.5 pounds, two and a half pounds over the lightweight non-title fight limit."
UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,"Mendes missed weight on his first attempt at the weigh ins, coming in at 142 lb."
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"At the weigh-ins, Pereira weighed in at 172 pounds, 1 pound over the welterweight non-title fight limit of 171."
UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,"At the weigh-ins, Michel Prazeres missed weight by two pounds, weighing in at 158 lb."
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,"At the weigh-ins, Gerald Meerschaert weighed in at 190 pounds, 4 pounds over the middleweight non-title fight limit."
UFC Fight Night: Dern vs. Hill,2023-05-20,"At the weigh-ins, Vanessa Demopoulos and Orion Cosce missed weight."
UFC Fight Night: Dern vs. Hill,2023-05-20,"Demopoulos weighed in at 117.5 pounds and Cosce weighed in at 172.5 pounds, both one and half pounds over the women's strawweight and welterweight non-title fights limit respectively."
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,"At the weigh-ins, Jose Johnson and Ihor Potieria missed weight."
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,"Johnson weighed in at 128.5 pounds, two and a half pounds over the flyweight non-title fight limit."
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,"Potieria weighed in at 188 pounds, two pounds over the middleweight non-title fight limit."
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,"At the weigh-ins, Jared Gooden weighed in at 174 pounds, three pounds over the welterweight non-title fight limit."
