,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|25.0",8283,2025-08-02,1.7570384402736154,2.2511327895636257,2.1982884051500506,0.4637513046510997,a
"near close, 5% margin|25.0",8284,2025-08-02,1.9394867945144834,2.2655064430530274,-1.9394867945144834,0.46307026135830387,b
"near close, 5% margin|25.0",8297,2025-08-09,1.9132500058422597,1.5372332290580517,1.0278614786339735,0.6638922515342917,a
"near close, 5% margin|25.0",8302,2025-08-16,2.2376572584273706,1.9490803720115588,2.1237165832626137,0.534854460921671,b
"near close, 5% margin|25.0",8304,2025-08-16,2.8459830931056613,1.712199194650719,2.026906866899414,0.6077202585942423,b
"near close, 5% margin|25.0",8310,2025-08-16,3.2428859851134457,2.278681985927636,4.14661989158176,0.4752450778649486,a
"near close, 5% margin|25.0",8313,2025-08-23,2.8247845446842312,1.711114043769933,2.008743960349213,0.6078933680628715,b
"near close, 5% margin|25.0",8341,2025-09-13,1.2384233299600609,2.553121044557945,1.923421335832498,0.40674468957520715,a
"near close, 5% margin|25.0",8343,2025-09-13,2.3835221831815727,1.7501779121472203,-2.3835221831815727,0.5918034427871292,a
"near close, 5% margin|25.0",8347,2025-09-13,0.8798226896045704,2.8378108422834356,-0.8798226896045704,0.3637800441745359,b
"near close, 5% margin|25.0",8348,2025-09-13,1.7984280937975747,2.4884974925594876,2.676955708166229,0.4233635425847791,a
"near close, 5% margin|25.0",8373,2025-10-04,5.0,1.2115384147269146,1.057692073634573,0.844142702375424,b
"near close, 5% margin|25.0",8388,2025-10-11,3.5281349261352757,1.9224228029238568,-3.5281349261352757,0.5540345446034387,b
"near close, 5% margin|25.0",8394,2025-10-18,2.5776319866610975,1.5058967341725962,-2.5776319866610975,0.6813749500843335,a
"near close, 5% margin|25.0",8403,2025-10-25,1.4152284233200116,4.712406668454027,5.25390343611889,0.23450396930299622,b
"near close, 5% margin|25.0",8409,2025-10-25,2.8903760957022144,1.798137976079034,2.3069189271309853,0.5817898250632567,b
"near close, 5% margin|25.0",8414,2025-10-25,0.7042787563176172,3.8413941306807633,0.0,0.270740943290547,b
"near close, 5% margin|25.0",8416,2025-11-01,3.210894948716229,1.5334179534858796,1.7127490124023592,0.6744768951588846,b
"near close, 5% margin|25.0",8435,2025-11-08,0.7799113316419439,2.3479936060483575,1.0513154883380005,0.4348505494804707,a
"near close, 5% margin|25.0",8440,2025-11-15,3.6893617231238904,1.5864858564321478,2.1637584698742995,0.6576013049014571,b
"near close, 5% margin|25.0",8450,2025-11-15,2.549778374089276,2.3503884318480033,-2.549778374089276,0.4547605025278858,a
"near close, 5% margin|25.0",8456,2025-11-22,2.299196137691833,1.764296529348141,1.7572676283285182,0.5867184656022807,a
"near close, 5% margin|25.0",8459,2025-11-22,3.5033586146105313,1.4738876743309528,1.6601984662250935,0.701005909282407,b
"near close, 5% margin|25.0",8461,2025-11-22,0.5676266086643054,3.027414760784762,-0.5676266086643054,0.33791745503520615,a
"near close, 5% margin|25.0",8473,2025-12-06,4.619551846679169,1.4897826644113104,2.2625764118527125,0.7016134320841267,b
"near close, 5% margin|25.0",8476,2025-12-06,3.08121752142359,1.3823020660700516,-3.08121752142359,0.740474272312314,a
"near close, 5% margin|25.0",8483,2025-12-13,0.7767159021018207,2.440188486888459,-0.7767159021018207,0.4189726947279615,a
"near close, 5% margin|25.0",8484,2025-12-13,1.7402787356623983,1.7330554485945193,1.2757208092505024,0.5917377987049901,b
"near close, 5% margin|25.0",8496,2026-01-24,2.473540873199009,1.5029700754618662,-2.473540873199009,0.6819046882740294,b
"near close, 5% margin|25.0",8500,2026-01-24,0.5714554722572907,2.771419719521806,-0.5714554722572907,0.3681310855447555,a
"near close, 5% margin|25.0",8510,2026-01-31,3.408388308983992,1.6974555232467385,2.3771992514704965,0.6171260281540474,a
"near close, 5% margin|25.0",8518,2026-02-07,5.0,1.5377074649488647,2.688537324744323,0.7123560404358176,a
"near close, 5% margin|25.0",8525,2026-02-07,1.932005832860527,2.3358001525200214,-1.932005832860527,0.45021637342969534,b
"near close, 5% margin|25.0",8528,2026-02-07,5.0,1.5676816699282403,-5.0,0.6777601593910055,a
"near close, 5% margin|25.0",8530,2026-02-07,1.6029221663407713,2.133609247656034,-1.6029221663407713,0.48572237346611213,b
"near close, 5% margin|25.0",8543,2026-02-21,0.8745178452944273,2.7020955335547523,1.4885129184895707,0.3811006108340933,b
"near close, 5% margin|25.0",8544,2026-02-21,5.0,1.3656227189288281,-5.0,0.7672237708583319,b
"near close, 5% margin|25.0",8550,2026-02-28,4.015945479835089,1.5296289343595444,2.1269609249310877,0.681563479272921,a
"near close, 5% margin|25.0",8567,2026-03-07,3.981981013312504,1.3050512129380178,1.2147081380071367,0.7848689404718331,b
"near close, 5% margin|25.0",8575,2026-03-14,0.519220032847363,3.1486764566973147,-0.519220032847363,0.3246801414079905,b
"near close, 5% margin|25.0",8576,2026-03-14,2.5918256880182327,1.4579129284564183,1.1868304908490002,0.7021932447645365,a
"near close, 5% margin|25.0",8598,2026-03-28,3.648008273767976,1.5539234234234152,-3.648008273767976,0.6695402932671776,a
"near close, 5% margin|25.0",8600,2026-03-28,2.522289235086489,1.8005502698565305,2.019219327804711,0.5778146847513416,a
"near close, 5% margin|25.0",8609,2026-03-28,3.943947610355228,2.12045077210152,4.41899914515046,0.5132776470091527,b
"near close, 5% margin|25.0",8613,2026-04-04,5.0,1.6771817298347906,3.3859086491739534,0.6366714325892683,a
"near close, 5% margin|25.0",8616,2026-04-04,1.3409201815685827,1.9888896214248233,1.326022050712261,0.5161274059436516,b
"near close, 5% margin|25.0",8617,2026-04-04,1.3535293110744524,2.9538184919410826,-1.3535293110744524,0.35645081606058004,b
"near close, 5% margin|25.0",8627,2026-04-11,5.0,1.4281904761904816,2.140952380952408,0.7326720416562468,a
"near close, 5% margin|25.0",8631,2026-04-11,0.7862197726625851,2.481395667461184,-0.7862197726625851,0.4123864906820228,b
"near close, 5% margin|25.0",8642,2026-04-18,1.5839565449505755,2.300272880040028,-1.5839565449505755,0.45263826035852955,a
