page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/eduarda-moura-16318,UFC,/events/ufc-2970,2023-11-04,Eduarda Moura,/fighters/eduarda-moura-16318,-400.0,-769.0,-620.0,"1.25, 1.25, 1.25, 1.25, 1.24796, 1.2437685714286, 1.2334625, 1.22255, 1.18154125, 1.14544125",Montserrat Ruiz,/fighters/montserrat-ruiz-8705,275.0,450.0,500.0
/fighters/eduarda-moura-16318,Contender Series,/events/contender-series-2995,2023-08-16,Eduarda Moura,/fighters/eduarda-moura-16318,-175.0,-225.0,-200.0,"1.57143, 1.68545, 1.6061766666667, 1.605235, 1.6115, 1.60405, 1.5873133333333, 1.5742416666667, 1.5374466666667, 1.4885771428571",Janaina Silva,/fighters/janaina-silva-14711,130.0,143.0,185.0
/fighters/eduardo-chapolin-19784,Dana,/events/dana-3829,2025-09-03,Eduardo Chapolin,/fighters/eduardo-chapolin-19784,-174.0,-158.0,-158.0,"1.57471, 1.63291, 1.69444, 1.70423, 1.74627, 1.73529, 1.72464, 1.67568, 1.63291",An Tuan Ho,/fighters/an-tuan-ho-16525,136.0,134.0,134.0
/fighters/elise-reed-9554,UFC Sacramento,/events/ufc-sacramento-4320,2026-08-22,Elise Reed,/fighters/elise-reed-9554,385.0,500.0,800.0,"4.85, 4.9833333333333, 5.125, 5.7233333333333, 5.84, 6.115, 6.665, 6.665, 6.8016666666667, 6.95",Shanelle Dyer,/fighters/shanelle-dyer-16552,-500.0,-1430.0,-700.0
/fighters/elise-reed-9554,UFC,/events/ufc-3719,2025-05-17,Elise Reed,/fighters/elise-reed-9554,350.0,400.0,450.0,"4.5, 4.5, 4.625, 4.7875, 4.83, 5.15, 5.09, 5.35, 5.6, 5.26",Denise Gomes,/fighters/denise-gomes-13433,-455.0,-649.0,-535.0
/fighters/elise-reed-9554,UFC,/events/ufc-3513,2024-10-19,Elise Reed,/fighters/elise-reed-9554,-155.0,-230.0,-200.0,"1.64516, 1.64105, 1.637795, 1.6271075, 1.630825, 1.6356033333333, 1.6007516666667, 1.5798766666667, 1.55021, 1.4724466666667",Jessica Penne,/fighters/jessica-penne-3305,130.0,163.0,190.0
/fighters/elise-reed-9554,UFC,/events/ufc-3020,2023-09-17,Elise Reed,/fighters/elise-reed-9554,300.0,295.0,340.0,"4, 4, 4.1333333333333, 4.2666666666667, 4.3357142857143, 4.33125, 4.3125, 4.2975, 4.68125, 4.10625",Lupita Godinez,/fighters/lupita-godinez-9456,-435.0,-450.0,-390.0
/fighters/elise-reed-9554,UFC Fight Night: Grasso vs. Shevchenko 2,/events/ufc-fight-night-grasso-vs-shevchenko-2-2951,2023-09-16,Elise Reed,/fighters/elise-reed-9554,,,,,Cynthia Calvillo,/fighters/cynthia-calvillo-6940,,,
/fighters/elise-reed-9554,UFC on ESPN: Hermansson vs. Allen,/events/ufc-on-espn-hermansson-vs-allen-2870,2023-06-03,Elise Reed,/fighters/elise-reed-9554,150.0,-150.0,-115.0,"2.5, 2.17, 2.1314285714286, 1.95003875, 1.91847125, 1.85756625, 1.80727125, 1.762575, 1.7550175, 1.7470475",Jinh Yu Frey,/fighters/jinh-yu-frey-5099,-175.0,-105.0,125.0
/fighters/elise-reed-9554,UFC 284: Makhachev vs. Volkanovski,/events/ufc-284-makhachev-vs-volkanovski-2710,2023-02-12,Elise Reed,/fighters/elise-reed-9554,225.0,255.0,300.0,"3.25, 3.3166666666667, 3.3, 3.25, 3.2333333333333, 3.25, 3.2444444444444, 3.2888888888889, 3.46, 3.825",Loma Lookboonmee,/fighters/loma-lookboonmee-7834,-265.0,-400.0,-335.0
/fighters/elise-reed-9554,UFC Fight Night 218,/events/ufc-fight-night-218-2666,2023-01-14,Elise Reed,/fighters/elise-reed-9554,,,,,Loma Lookboonmee,/fighters/loma-lookboonmee-7834,,,
/fighters/elise-reed-9554,UFC 279,/events/ufc-279-2541,2022-09-10,Elise Reed,/fighters/elise-reed-9554,212.0,140.0,150.0,"3.12, 2.3675, 2.3614285714286, 2.3577777777778, 2.3466666666667, 2.3433333333333, 2.3455555555556, 2.3866666666667, 2.41, 2.4277777777778",Mellisa Martinez,/fighters/mellisa-martinez-14045,-252.0,-177.0,-160.0
