fm_path,name,sherdog
/fighter-profile/Shamil%20Gamzatov/116848/,Shamil Gamzatov,http://www.sherdog.com/fighter/Shamil-Gamzatov-136875
/fighter-profile/Sam%20Alvey/27513/,Sam Alvey,http://www.sherdog.com/fighter/Sam-Alvey-35410
/fighter-profile/William%20Knight/188024/,William Knight,http://www.sherdog.com/fighter/William-Knight-282383
/fighter-profile/Isaac%20Villanueva/39688/,Isaac Villanueva,http://www.sherdog.com/fighter/Isaac-Villanueva-41384
/fighter-profile/Mike%20Rodriguez/99705/,Mike Rodriguez,http://www.sherdog.com/fighter/Mike-Rodriguez-107891
/fighter-profile/Rodolfo%20Bellato/180699/,Rodolfo Bellato,http://www.sherdog.com/fighter/Rodolfo-Bellato-266457
/fighter-profile/Bo%20Nickal/247572/,Bo Nickal,http://www.sherdog.com/fighter/Bo-Nickal-392031
/fighter-profile/Caio%20Borralho/142194/,Caio Borralho,http://www.sherdog.com/fighter/Caio-Borralho-188043
/fighter-profile/Andre%20Muniz/83938/,Andre Muniz,http://www.sherdog.com/fighter/Andre-Muniz-81800
/fighter-profile/Vinicius%20Moreira/151580/,Vinicius Moreira,http://www.sherdog.com/fighter/Vinicius-Moreira-207291
/fighter-profile/Parker%20Porter/5109/,Parker Porter,http://www.sherdog.com/fighter/Parker-Porter-24916
/fighter-profile/Muhammad%20Saidov/264781/,Muhammad Saidov,http://www.sherdog.com/fighter/Muhammad-Saidov-319053
/fighter-profile/Julius%20Walker/227045/,Julius Walker,http://www.sherdog.com/fighter/Julius-Walker-366067
/fighter-profile/Da%20Woon%20Jung/149914/,Da Woon Jung,http://www.sherdog.com/fighter/Da-Woon-Jung-202241
/fighter-profile/John%20Allan/103170/,John Allan,http://www.sherdog.com/fighter/John-Allan-114875
/fighter-profile/Darren%20Stewart/112474/,Darren Stewart,http://www.sherdog.com/fighter/Darren-Stewart-128141
/fighter-profile/Maxim%20Grishin/19333/,Maxim Grishin,http://www.sherdog.com/fighter/Maxim-Grishin-33201
/fighter-profile/Chris%20Camozzi/35101/,Chris Camozzi,http://www.sherdog.com/fighter/Chris-Camozzi-17224
/fighter-profile/Clifford%20Starks/57679/,Clifford Starks,http://www.sherdog.com/fighter/Clifford-Starks-56902
/fighter-profile/Roman%20Kopylov/163937/,Roman Kopylov,http://www.sherdog.com/fighter/Roman-Kopylov-232601
/fighter-profile/Christian%20Edwards/182528/,Christian Edwards,http://www.sherdog.com/fighter/Christian-Edwards-270755
/fighter-profile/Raffael%20Cerqueira/217246/,Raffael Cerqueira,http://www.sherdog.com/fighter/Raffael-Cerqueira-344561
/fighter-profile/Christian%20Leroy%20Duncan/152842/,Christian Leroy Duncan,http://www.sherdog.com/fighter/Christian-Leroy-Duncan-209939
/fighter-profile/Jamie%20Pickett/74162/,Jamie Pickett,http://www.sherdog.com/fighter/Jamie-Pickett-72595
/fighter-profile/Kyle%20Daukaus/85564/,Kyle Daukaus,http://www.sherdog.com/fighter/Kyle-Daukaus-83350
/fighter-profile/Jun%20Yong%20Park/127817/,Jun Yong Park,http://www.sherdog.com/fighter/Jun-Yong-Park-159071
/fighter-profile/Tim%20Williams/56484/,Tim Williams,http://www.sherdog.com/fighter/Tim-Williams-55756
/fighter-profile/Rafael%20Natal/25874/,Rafael Natal,http://www.sherdog.com/fighter/Rafael-Natal-13968
/fighter-profile/Sedriques%20Dumas/191108/,Sedriques Dumas,http://www.sherdog.com/fighter/Sedriques-Dumas-288537
/fighter-profile/Michel%20Pereira/116266/,Michel Pereira,http://www.sherdog.com/fighter/Michel-Pereira-135705
/fighter-profile/Gian%20Villante/45137/,Gian Villante,http://www.sherdog.com/fighter/Gian-Villante-42802
/fighter-profile/Anton%20Turkalj/165019/,Anton Turkalj,http://www.sherdog.com/fighter/Anton-Turkalj-234667
/fighter-profile/Saparbek%20Safarov/78814/,Saparbek Safarov,http://www.sherdog.com/fighter/Saparbek-Safarov-76834
